razotajs,modelis,marka,gads,tilpums,dzinejs,nobraukums,cena,apraksts,bilde,saite
Opel,Meriva,Opel Meriva,2010,1.7,Dīzelis,200,5670,"Opel Meriva 1.7 Cdti, 74 kw, automātiskā ā/k, no Vācijas, piereģistrēta ",https://i.ss.lv/gallery/5/843/210541/42108150.th2.jpg,/msg/lv/transport/cars/opel/meriva/mxkbi.html
Volvo,S60,Volvo S60,2003,2.4,Dīzelis,463,1800,Pārdodu Volvo S60 2.4D5 120 Kw dzinējs. Labā tehniskā un vizuālā kārtībā,https://i.ss.lv/gallery/5/851/212619/42523719.th2.jpg,/msg/lv/transport/cars/volvo/s60/bcgoeb.html
Audi,A8,Audi A8,2016,4.2,Dīzelis,95,43900,"Labs auto, ideālā kārtībā. max. pilna kompl. , 4, 2D, long. versija, pan",https://i.ss.lv/gallery/5/851/212618/42523522.th2.jpg,/msg/lv/transport/cars/audi/a8/amlhk.html
Skoda,Octavia,Skoda Octavia,2009,1.9,Dīzelis,267,4000,Pardodu octaviju 1.9d 77kv 4x4 cipots Dzinejs. To lidz 19.10.2022.laba s,https://i.ss.lv/gallery/5/851/212618/42523446.th2.jpg,/msg/lv/transport/cars/skoda/octavia/bboxkg.html
Opel,Vectra,Opel Vectra,2007,1.9,Dīzelis,231,3400,"Auto tiko no Vacijas, pieregistrets izieta tehniska apskate, servisa gra",https://i.ss.lv/gallery/5/851/212613/42522404.th2.jpg,/msg/lv/transport/cars/opel/vectra/dexbd.html
Ford,Focus,Ford Focus,2016,1.0,Benzīns,85,8900,Sakarā ar lielāka auto iegādi tiek pārdots saudzīgi lietots Ford Focus 1,https://i.ss.lv/gallery/5/840/209890/41977981.th2.jpg,/msg/lv/transport/cars/ford/focus/glejm.html
Volkswagen,Passat (B5),Volkswagen Passat (B5),2000,1.9,Dīzelis,332,1200,Pārdod ļoti labu Pasātiņu ar 1.9 l sūkņa motoru. Auto virsbūve tikpat kā,https://i.ss.lv/gallery/5/849/212139/42427626.th2.jpg,/msg/lv/transport/cars/volkswagen/passat-b5/ogxdb.html
Mercedes,A160,Mercedes A160,2009,2.0,Dīzelis,135,5500,"Auto no Vācijas, pirkts oficiālā izsolē. Mercedes-Benz A 160 Cdi “Avan",https://i.ss.lv/gallery/5/851/212617/42523336.th2.jpg,/msg/lv/transport/cars/mercedes/a160/fecbx.html
Toyota,Corolla,Toyota Corolla,2021,1.8,Hibrīds,17,23500,"Wess Berģi: Corolla Hybrid Active, rūpnīcas garantija. Automašīna pi",https://i.ss.lv/gallery/5/851/212617/42523240.th2.jpg,/msg/lv/transport/cars/toyota/corolla/hckfx.html
Honda,Accord,Honda Accord,2009,2.2,Dīzelis,133,8700,Продаю Honda Accord. Оригинальный пробег 132863 км. Полная история обслу,https://i.ss.lv/gallery/5/851/212617/42523398.th2.jpg,/msg/lv/transport/cars/honda/accord/cxhpp.html
Audi,A3,Audi A3,2000,1.9,Dīzelis,283,2600,"Audi A3 1, 9Tdi / dīzelis/ 66 Kw/ 88 Hp/pirmā reģ. Vācijā 30.12.1999(200",https://i.ss.lv/gallery/5/825/206233/41246546.th2.jpg,/msg/lv/transport/cars/audi/a3/begbkc.html
Opel,Meriva,Opel Meriva,2011,1.7,Dīzelis,197,5250,Opel Meriva 1.7Tdi /dīzelis / 81 Kw/ 110 Hp/zs/ pirma reģ. Francijā 05.0,https://i.ss.lv/gallery/5/811/202548/40509412.th2.jpg,/msg/lv/transport/cars/opel/meriva/bjmlkm.html
Opel,Astra,Opel Astra,2010,1.7,Dīzelis,171,5250,Opel Astra 1.7 Cdti/ dīzelis/ 81 Kw/ 110 Hp/zs/ pirma reģ. Francijā 08.0,https://i.ss.lv/gallery/5/811/202549/40509757.th2.jpg,/msg/lv/transport/cars/opel/astra/hchdm.html
Audi,A5,Audi A5,2014,2.0,Dīzelis,151,17900,"Tirgošanā lieliskais un dinamiskais Audi A5 Sportback , kurš papildus ie",https://i.ss.lv/gallery/5/851/212617/42523298.th2.jpg,/msg/lv/transport/cars/audi/a5/bpnneo.html
Lexus,RX,Lexus RX,2002,3.0,Benzīns,285,2300,"Pārdodu/mainu Lexus Rx3003.0 benzins/gāze, 148kw. Gaišs ādas salons ",https://i.ss.lv/gallery/5/823/205550/41109818.th2.jpg,/msg/lv/transport/cars/lexus/rx/fdfpm.html
Bmw,528,Bmw 528,1997,2.8,Benzīns,444,1490,В нормальном состоянии. Новых техосмотр. Налог уплачен. Возможен обмен н,https://i.ss.lv/gallery/5/851/212617/42523287.th2.jpg,/msg/lv/transport/cars/bmw/528/dobnf.html
Opel,Astra,Opel Astra,2006,1.3,Dīzelis,263,1750,"Opel Astra Station Wagon 1, 3 dti/ 66 Kw/88 Hp/zs/ pirma reģ. 04.05.2006",https://i.ss.lv/gallery/4/737/184164/36832601.th2.jpg,/msg/lv/transport/cars/opel/astra/bemef.html
Renault,Grand Espace,Renault Grand Espace,2006,3.0,Dīzelis,286,3099,"Удобный, безопасный, хорошо управляемый минивэн почти в максимально возм",https://i.ss.lv/gallery/5/826/206279/41255693.th2.jpg,/msg/lv/transport/cars/renault/grandespace/bxhmnd.html
Volvo,V70,Volvo V70,2002,2.4,Dīzelis,413,1400,Pārdodu Volvo V70. TA līdz 21.06.2022 Mainoties darba specifikai pārdodu,https://i.ss.lv/gallery/5/831/207698/41539536.th2.jpg,/msg/lv/transport/cars/volvo/v70/fxiil.html
Toyota,C-HR,Toyota C-HR,2017,1.2,Benzīns,80,18990,"Wess Berģi: C-Hr Dynamic, labā tehniskā un vizuālā stāvoklī, Toyota Appr",https://i.ss.lv/gallery/5/851/212607/42521345.th2.jpg,/msg/lv/transport/cars/toyota/c-hr/cxxmij.html
Opel,Vectra,Opel Vectra,2007,1.9,Dīzelis,221,2750,"Opel Vectra Station Wagon, 1, 9 cdti, 110 kw. Ļoti labā tehniskā un vizu",https://i.ss.lv/gallery/5/812/202836/40567096.th2.jpg,/msg/lv/transport/cars/opel/vectra/dcffe.html
Volkswagen,T3,Volkswagen T3,1988,1.6,Dīzelis,723,7000,"Auto teicamā stāvoklī, noņemts no uzskaites, nodokļu parādi nav. Vairā",https://i.ss.lv/gallery/5/850/212495/42498814.th2.jpg,/msg/lv/transport/cars/volkswagen/t3/ekenm.html
Bmw,X5,Bmw X5,2005,3.0,Dīzelis,405,5000,"Pārdodu BMW X5, 2005, 3.0 dīzelis, automāts-tumši zaļa krāsa-gaišs ā",https://i.ss.lv/gallery/5/831/207528/41505456.th2.jpg,/msg/lv/transport/cars/bmw/x5/bifbgf.html
Bmw,120,Bmw 120,2005,2.0,Dīzelis,190,4500,Продается BMW 120D в хорошем состоянии. Плюс комплект дисков с зимней ре,https://i.ss.lv/gallery/5/851/212607/42521242.th2.jpg,/msg/lv/transport/cars/bmw/120/bldjfc.html
Ford,Focus,Ford Focus,2009,1.6,Dīzelis,396,1990,Mašīnā labā vizuālā un tehniskā stāvoklī Nav ne kādās kļūdas Mazs pa,https://i.ss.lv/gallery/4/782/195437/39087245.th2.jpg,/msg/lv/transport/cars/ford/focus/apdgf.html
Volkswagen,Crafter,Volkswagen Crafter,2012,2.0,Dīzelis,295,17000,VW Crafter Express buss ar pilnvērtīgām 9 regulējamām sēdvietām un milzī,https://i.ss.lv/gallery/5/851/212616/42523039.th2.jpg,/msg/lv/transport/cars/volkswagen/crafter/bhcdhl.html
Toyota,Avensis,Toyota Avensis,2005,1.8,Benzīns,190,3250,Teicamā tehniskā un vizuālā stāvoklī ar koptu nesmēķētāja salonu bez def,https://i.ss.lv/gallery/5/832/207879/41575611.th2.jpg,/msg/lv/transport/cars/toyota/avensis/cnfhe.html
Bmw,535,Bmw 535,2012,3.5,Dīzelis,215,15900,Продаю BMW 535D X-Drive F10. Возможен обмен только с доплатой в мою стор,https://i.ss.lv/gallery/5/846/211378/42275577.th2.jpg,/msg/lv/transport/cars/bmw/535/eeigp.html
Mercedes,E300,Mercedes E300,2015,3.0,Dīzelis,164,16700,"Mercedes Benz E300T 9G-Tronic Avantgarde Amg Line, 3.0 Cdi 231 ZsTum",https://i.ss.lv/gallery/5/851/212615/42522990.th2.jpg,/msg/lv/transport/cars/mercedes/e300/fbdgg.html
Opel,Astra,Opel Astra,2007,1.7,Dīzelis,308,1100,Pārdod Opel Astra 1.7Cdti ar TA līdz 07.07.2022. Ļoti ekonomisks isuzu m,https://i.ss.lv/gallery/5/851/212616/42523008.th2.jpg,/msg/lv/transport/cars/opel/astra/fohjh.html
Volkswagen,Touareg,Volkswagen Touareg,2004,2.5,Dīzelis,248,4850,Jaunā TA / Bez pneimo / Mehānika / Navi / Ādas salons / Tikko no Beļģija,https://i.ss.lv/gallery/5/850/212472/42494320.th2.jpg,/msg/lv/transport/cars/volkswagen/touareg/dhdfe.html
Mercedes,A170,Mercedes A170,2004,1.7,Benzīns,223,2000,"Mercedes Benz A170, 1, 7 benzīns, 85 kw. Jauna tehniskā apskate. Samaksā",https://i.ss.lv/gallery/5/836/208888/41777578.th2.jpg,/msg/lv/transport/cars/mercedes/a170/fnnmc.html
Mazda,Mazda6,Mazda Mazda6,2013,2.2,Dīzelis,229,5600,"Jāšķiras no laba auto, pašam jau patīk, bet viss dēļ sievietēm. Feislift",https://i.ss.lv/gallery/5/851/212615/42522956.th2.jpg,/msg/lv/transport/cars/mazda/mazda6/dkmbg.html
Ford,Tourneo,Ford Tourneo,2005,1.8,Dīzelis,350,990,"Возможен обмен. Машина в нормальном состояние очень вместительная, расхо",https://i.ss.lv/gallery/5/848/211873/42374504.th2.jpg,/msg/lv/transport/cars/ford/tourneo/nodmf.html
Bmw,330,Bmw 330,2003,3.0,Dīzelis,297,3200,E46 150kw ar manuālo 6robu kārbu. Atrodas Rīgā.,https://i.ss.lv/gallery/5/846/211326/42265116.th2.jpg,/msg/lv/transport/cars/bmw/330/flxen.html
Audi,A6,Audi A6,2004,2.5,Dīzelis,320,2650,Audi a6 2.5 tdi quattro automāts (Bau) 11.2004Vizuāli un tehniski ļoti,https://i.ss.lv/gallery/5/851/212613/42522466.th2.jpg,/msg/lv/transport/cars/audi/a6/cmgxj.html
Volkswagen,Multivan,Volkswagen Multivan,2009,2.0,Dīzelis,294,22000,VW multivan ļoti labā stāvoklī ar ļoti labu komplektāciju. Visi jautājum,https://i.ss.lv/gallery/4/795/198711/39742134.th2.jpg,/msg/lv/transport/cars/volkswagen/multivan/emfgl.html
Land Rover,Range Rover,Land Rover Range Rover,2016,4.4,Dīzelis,31,70000,Pārdod Range Rover Vogue Sdv8.Jaunas a/m stāvoklis. A/m būs cits reģ,https://i.ss.lv/gallery/5/851/212614/42522738.th2.jpg,/msg/lv/transport/cars/land-rover/range-rover/aidex.html
Suzuki,Grand Vitara,Suzuki Grand Vitara,2006,1.8,Dīzelis,344,3000,"Pārdodam ģimenes automašīnu, kura tika pirkta no Suzuki salona LV. Līdzi",https://i.ss.lv/gallery/5/851/212607/42521221.th2.jpg,/msg/lv/transport/cars/suzuki/grand-vitara/ehhex.html
Lexus,NX,Lexus NX,2016,2.5,Hibrīds,63,28500,"Pārdodu lielisku, praktiski jaunu a/m, ar oriģinālu, pierādāmu nobraukum",https://i.ss.lv/gallery/5/825/206011/41202063.th2.jpg,/msg/lv/transport/cars/lexus/nx/cxbkkj.html
Volvo,S40,Volvo S40,2001,1.9,Dīzelis,329,1200,Pārdodu labu Volvo s40. Auto no 2015 gada atdzīts no Vācijas un bijis vi,https://i.ss.lv/gallery/5/851/212615/42522861.th2.jpg,/msg/lv/transport/cars/volvo/s40/dhhnc.html
Bmw,640,Bmw 640,2014,3.0,Dīzelis,169,27900,Automašīna ar pārbaudītu vēsturi. BMW 640d Grand Coupe 313 zsEl.,https://i.ss.lv/gallery/5/851/212615/42522877.th2.jpg,/msg/lv/transport/cars/bmw/640/blnemg.html
Chrysler,Grand Voyager,Chrysler Grand Voyager,2006,2.8,Dīzelis,314,1990,"2.8Crdi, automāts, elektro durvis, ādas sēdekļi, multistūre, kruīzkontro",https://i.ss.lv/gallery/5/851/212614/42522622.th2.jpg,/msg/lv/transport/cars/chrysler/grand-voyager/cbomg.html
Volkswagen,Passat (B5),Volkswagen Passat (B5),1999,1.9,Dīzelis,419,1600,"Pārdodu Volkswagen Passat B5 1.9 tdi 66kw, sūkņa motors. Ļoti ekonomisks",https://i.ss.lv/gallery/5/851/212615/42522834.th2.jpg,/msg/lv/transport/cars/volkswagen/passat-b5/odlep.html
Mercedes,C200,Mercedes C200,2016,2.0,Benzīns,76,28900,Īpašnieks pārdos labās rokās savu uzticamo kupeju. Auto iegādāts 2017.ga,https://i.ss.lv/gallery/5/823/205537/41107234.th2.jpg,/msg/lv/transport/cars/mercedes/c200/hdmch.html
Bmw,530,Bmw 530,2012,3.0,Dīzelis,187,16999,Izcilā stāvoklī BMW 530d oriģināls M pakas komplektācija. Vasarā tika ,https://i.ss.lv/gallery/5/851/212614/42522750.th2.jpg,/msg/lv/transport/cars/bmw/530/ggejk.html
Mercedes,C180,Mercedes C180,2001,2.0,Benzīns,139,3500,"Pārdodu Mercedes Benz C180, 2001.gads. No Vācijas. Nobraukums orģināls. ",https://i.ss.lv/gallery/4/616/153892/30778241.th2.jpg,/msg/lv/transport/cars/mercedes/c180/hfhdk.html
Toyota,Yaris,Toyota Yaris,2006,1.3,Benzīns,309,1900,Tiek pārdota a/m Toyota Yaris,https://i.ss.lv/gallery/5/841/210178/42035488.th2.jpg,/msg/lv/transport/cars/toyota/yaris/eniei.html
Volkswagen,Passat (B6),Volkswagen Passat (B6),2006,2.0,Dīzelis,320,2350,Хорошее техническое состояние. Новый аккумулятор. Только что сделано тех,https://i.ss.lv/gallery/5/816/203982/40796282.th2.jpg,/msg/lv/transport/cars/volkswagen/passat-b6/nkegk.html
Volkswagen,Passat (B8),Volkswagen Passat (B8),2015,2.0,Dīzelis,145,11750,"VW Passat B8 Variant 2.0Tdi 110kwIdealā stavoklī, 2 atslegas, lieti ",https://i.ss.lv/gallery/5/825/206204/41240669.th2.jpg,/msg/lv/transport/cars/volkswagen/passat-b8/bnngil.html
Volkswagen,Sharan,Volkswagen Sharan,2001,1.9,Dīzelis,345,1490,VW Sharan 1.9Tdi 85 kW Кпп автомат. Тех. осмотр до 02.06.2022. Хорошее т,https://i.ss.lv/gallery/5/851/212614/42522645.th2.jpg,/msg/lv/transport/cars/volkswagen/sharan/ombie.html
